Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed,Birthplace,HomeTown,HighSchool,College,Past Pro,Past Pro 2,Twitter_id,Twitter_username,Twitter_followers,Twitter_friends
334,Jordan Adams,MEM,$1344120,$1404600,$1465080,$2410057,,,1st Round Pick,$2748720,,,,,,,,,,
465,Jordan Clarkson,LAL,$507336,$845059,,,,,Minimum Salary,$507336,,,,,,,,,,
278,Jordan Farmar,LAC,$2077000,,,,,,,$2077000,,,,,,,,,,
525,Jordan Hamilton,UTA,$25000,,,,,,,$25000,,,,,,,,,,
72,Jordan Hill,LAL,$9000000,$9000000,,,,,Cap Space,$9000000,,,,,,,,,,
524,Jordan Vandenberg,NYK,$27000,,,,,,,$27000,,,,,,,,,,
515,Jorge Gutierrez,MIL,$48028,,,,,,Minimum Salary,$48028,,,,,,,,,,
339,Jose Barea,DAL,$1310286,,,,,,Minimum Salary,$1310286,,,,,,,,,,
100,Jose Calderon,NYK,$7097191,$7402812,$7708427,,,,Cap Space,$22208430,,,,,,,,,,
95,Josh Childress,PHO,$7317500,,,,,,,,,,,,,,,,,
528,Josh Davis,SAS,$20000,,,,,,,$20000,,,,,,,,,,
142,Josh McRoberts,MIA,$5305000,$5543725,$5782450,$6021175,,,MLE,$16631175,,,,,,,,,,
31,Josh Smith,DET,$14000000,$14000000,$14000000,,,,,$42000000,,,,,,,,,,
279,Josh Smith,HOU,$2077000,,,,,,BAE,$2077000,,,,,,,,,,
61,Jrue Holiday,NOP,$9904495,$10595507,$11286518,,,,Bird Rights,$31786520,,,,,,,,,,
233,Julius Randle,LAL,$2997360,$3132240,$3267120,$4149242,,,1st Round Pick,$6129600,,,,,,,,,,
433,Justin Hamilton,MIA,$816482,,,,,,Minimum Salary,,,,,,,,,,,
437,Justin Holiday,GSW,$816482,,,,,,Minimum Salary,$35000,,,,,,,,,,
301,Jusuf Nurkic,DEN,$1762680,$1842000,$1921320,$2947305,,,1st Round Pick,$3604680,,,,,,,,,,
458,K.J. McDaniels,PHI,$507336,,,,,,Minimum Salary,,,,,,,,,,,
487,Kadeem Batts,ORL,$150000,,,,,,,$150000,,,,,,,,,,
237,Kawhi Leonard,SAS,$2894059,,,,,,1st Round Pick,$2894059,,,,,,,,,,
280,Kelly Olynyk,BOS,$2075760,$2165160,$3094014,,,,1st Round Pick,$4240920,,,,,,,,,,
214,Kemba Walker,CHO,$3272091,$12000000,$12000000,$12000000,$12000000,,1st Round Pick,$51272091,,,,,,,,,,
402,Kendall Marshall,MIL,$915243,,,,,,Minimum Salary,,,,,,,,,,,
65,Kendrick Perkins,OKC,$9654342,,,,,,Bird Rights,$9154342,,,,,,,,,,
263,Kenneth Faried,DEN,$2249768,$11235955,$12078652,$12921348,$13764045,,1st Round Pick,$52249768,,,,,,,,,,
288,Kent Bazemore,ATL,$2000000,$2000000,,,,,,$4000000,,,,,,,,,,
240,Kentavious Caldwell-Pope,DET,$2772480,$2891760,$3678319,,,,1st Round Pick,$2772480,,,,,,,,,,
474,Kenyon Martin,MIL,$414551,,,,,,Minimum Salary,$170410,,,,,,,,,,
12,Kevin Durant,OKC,$18995624,$20158622,,,,,Bird Rights,$39154246,,,,,,,,,,
47,Kevin Garnett,BRK,$12000000,,,,,,Bird Rights,$12000000,,,,,,,,,,
21,Kevin Love,CLE,$15719062,$16744218,,,,,Cap Space,$15719062,,,,,,,,,,
106,Kevin Martin,MIN,$6792500,$7085000,$7377500,,,,Bird Rights,$13877500,,,,,,,,,,
502,Kevin Murphy,UTA,$65000,,,,,,,$65000,,,,,,,,,,
183,Kevin Seraphin,WAS,$3898692,,,,,,1st Round Pick,$3898692,,,,,,,,,,
513,Khem Birch,MIA,$50000,,,,,,,$50000,,,,,,,,,,
403,Khris Middleton,MIL,$915243,,,,,,MLE,$915243,,,,,,,,,,
248,Kirk Hinrich,CHI,$2730000,$2870000,,,,,Room Exception,$2730000,,,,,,,,,,
222,Klay Thompson,GSW,$3075880,$15500000,$16662500,$17825500,$18987500,,1st Round Pick,$72051380,,,,,,,,,,
1,Kobe Bryant,LAL,$23500000,$25000000,,,,,Bird Rights,$48500000,,,,,,,,,,
230,Kosta Koufos,MEM,$3000000,,,,,,Bird Rights,$3000000,,,,,,,,,,
159,Kostas Papanikolaou,HOU,$4800000,$4600000,,,,,MLE,$4800000,,,,,,,,,,
171,Kris Humphries,WAS,$4300000,$4600000,$4600000,,,,Bird Rights,$13500000,,,,,,,,,,
369,Kyle Anderson,SAS,$1093680,$1142879,$1192080,$2151704,,,,$2236559,,,,,,,,,,
119,Kyle Korver,ATL,$6253521,$5746479,$5239437,,,,Bird Rights,$17239437,,,,,,,,,,
45,Kyle Lowry,TOR,$12000000,$12000000,$12000000,$12000000,,,Bird Rights,$36000000,,,,,,,,,,
398,Kyle O'Quinn,ORL,$915243,,,,,,MLE,,,,,,,,,,,
370,Kyle Singler,DET,$1090000,,,,,,MLE,$1090000,,,,,,,,,,
101,Kyrie Irving,CLE,$7070730,$14746000,$15851950,$16957900,$18063850,,Early Bird Rights,$72690430,,,,,,,,,,
16,LaMarcus Aldridge,POR,$16006000,,,,,,Bird Rights,$15256000,,,,,,,,,,
73,Lance Stephenson,CHO,$9000000,$9000000,$9400000,,,,Cap Space,$18000000,,,,,,,,,,
387,Lance Thomas,NYK,$948163,,,,,,,,,,,,,,,,,
509,Lance Thomas,NYK,$57711,,,,,,Minimum Salary,$57711,,,,,,,,,,
120,Landry Fields,TOR,$6250000,,,,,,Cap Space,$6250000,,,,,,,,,,
483,Langston Galloway,NYK,$235762,$845059,,,,,Minimum Salary,$235762,,,,,,,,,,
508,Larry Drew,PHI,$59686,,,,,,Minimum Salary,$59686,,,,,,,,,,
54,Larry Sanders,MIL,$11000000,$11000000,$11000000,$11000000,,,1st Round Pick,$44000000,,,,,,,,,,
389,Lavoy Allen,IND,$948163,,,,,,Minimum Salary,$948163,,,,,,,,,,
323,Leandro Barbosa,GSW,$1448490,,,,,,Minimum Salary,$150000,,,,,,,,,,
7,LeBron James,CLE,$20644400,$21573398,,,,,Cap Space,$20644400,,,,,,,,,,
514,Lorenzo Brown,MIN,$48028,,,,,,Minimum Salary,$48028,,,,,,,,,,
486,Louis Amundson,NYK,$154152,,,,,,Minimum Salary,$154152,,,,,,,,,,
135,Louis Williams,TOR,$5450000,,,,,,MLE,$5450000,,,,,,,,,,
170,Luc Mbah a Moute,PHI,$4382576,,,,,,Bird Rights,$4382576,,,,,,,,,,
300,Lucas Nogueira,TOR,$1762680,$1842000,$1921320,$2947305,,,1st Round Pick,$3604680,,,,,,,,,,
302,Luigi Datome,DET,$1750000,,,,,,Cap Space,$1750000,,,,,,,,,,
113,Luis Scola,HOU,$6541000,,,,,,,,,,,,,,,,,
121,Luis Scola,HOU,$6172538,,,,,,,,,,,,,,,,,
156,Luis Scola,IND,$4868499,,,,,,Cap Space,$940946,,,,,,,,,,
381,Luke Babbitt,NOP,$981084,,,,,,Minimum Salary,$100000,,,,,,,,,,
242,Luke Ridnour,ORL,$2750000,,,,,,Cap Space,$2750000,,,,,,,,,,
62,Luol Deng,MIA,$9714461,$10151612,,,,,Cap Space,$9714461,,,,,,,,,,
452,Malcolm Thomas,PHI,$635827,,,,,,Minimum Salary,$474000,,,,,,,,,,
103,Manu Ginobili,SAS,$7000000,,,,,,Bird Rights,$7000000,,,,,,,,,,
18,Marc Gasol,MEM,$15829688,,,,,,Bird Rights,$15829688,,,,,,,,,,
58,Marcin Gortat,WAS,$10434782,$11217391,$12000000,$12782609,$13565218,,Bird Rights,$60000000,,,,,,,,,,
238,Marco Belinelli,SAS,$2873750,,,,,,MLE,$2873750,,,,,,,,,,
451,Marcus Camby,TOR,$646609,,,,,,,$646609,,,,,,,,,,
235,Marcus Morris,PHO,$2943221,$5000000,$5000000,$5000000,$5000000,,Bird Rights,$22943221,,,,,,,,,,
209,Marcus Smart,BOS,$3283320,$3431040,$3578880,$4538020,,,1st Round Pick,$6669360,,,,,,,,,,
76,Marcus Thornton,BOS,$8575000,,,,,,Cap Space,$8575000,,,,,,,,,,
178,Mario Chalmers,MIA,$4000000,$4300000,,,,,Bird Rights,$8300000,,,,,,,,,,
472,Markel Brown,BRK,$507336,$845059,,,,,Minimum Salary,$507336,,,,,,,,,,
234,Markieff Morris,PHO,$2989239,$8000000,$8000000,$8000000,$8000000,,Bird Rights,$34989239,,,,,,,,,,
362,Marquis Teague,PHI,$1120920,,,,,,,$1120920,,,,,,,,,,
194,Marreese Speights,GSW,$3657500,$3815000,,,,,MLE,$3657500,,,,,,,,,,
138,Martell Webster,WAS,$5381750,$5613500,$5845250,,,,MLE,$10995250,,,,,,,,,,
104,Marvin Williams,CHO,$7000000,$7000000,,,,,,$14000000,,,,,,,,,,
333,Mason Plumlee,BRK,$1357080,$1415520,$2328530,,,,1st Round Pick,$1357080,,,,,,,,,,
201,Matt Barnes,LAC,$3396250,$3542500,,,,,MLE,$3396250,,,,,,,,,,
320,Matt Bonner,SAS,$1448490,,,,,,Minimum Salary,$1448490,,,,,,,,,,
440,Matthew Dellavedova,CLE,$816482,,,,,,Minimum Salary,,,,,,,,,,,
293,Maurice Harkless,ORL,$1887840,$2894059,,,,,1st Round Pick,$4781899,,,,,,,,,,
260,Meyers Leonard,POR,$2317920,$3075880,,,,,1st Round Pick,$5393800,,,,,,,,,,
444,Michael Beasley,PHO,$777778,$777778,$777778,,,,,,,,,,,,,,,
261,Michael Carter-Williams,PHI,$2300040,$2399040,$3183526,,,,1st Round Pick,$4699080,,,,,,,,,,
149,Michael Kidd-Gilchrist,CHO,$5016960,$6331404,,,,,1st Round Pick,$11348364,,,,,,,,,,
74,Mike Conley,MEM,$8894216,$9588426,,,,,Cap Space,$18082642,,,,,,,,,,
207,Mike Dunleavy,CHI,$3326235,,,,,,Mini MLE,$3326235,,,,,,,,,,
111,Mike Miller,MIA,$6600000,,,,,,,,,,,,,,,,,
246,Mike Miller,CLE,$2732000,$2854940,,,,,MLE,$2732000,,,,,,,,,,
442,Mike Muscala,ATL,$816482,$947276,,,,,Minimum Salary,$408241,,,,,,,,,,
204,Mike Scott,ATL,$3333333,$3333333,$3333334,,,,,$6666666,,,,,,,,,,
353,Miles Plumlee,PHO,$1169880,$2109294,,,,,1st Round Pick,$3279174,,,,,,,,,,
480,Miroslav Raduljica,LAC,$300000,$300000,$300000,$300000,$300000,,,,,,,,,,,,,
496,Miroslav Raduljica,MIN,$96100,,,,,,,$96100,,,,,,,,,,
202,Mirza Teletovic,BRK,$3368100,,,,,,Mini MLE,$3368100,,,,,,,,,,
331,Mitch McGary,OKC,$1400040,$1463040,$1526040,$2430981,,,1st Round Pick,$2863080,,,,,,,,,,
518,Mitchell Watt,GSW,$35000,,,,,,,$35000,,,,,,,,,,
191,Mo Williams,MIN,$3750000,,,,,,MLE,$3750000,,,,,,,,,,
81,Monta Ellis,DAL,$8360000,$8720000,,,,,Cap Space,$8360000,,,,,,,,,,
271,Nate Robinson,BOS,$2106720,,,,,,,$2106720,,,,,,,,,,
432,Nate Wolters,MIL,$816482,,,,,,,$816482,,,,,,,,,,
498,Nate Wolters,NOP,$96056,,,,,,Minimum Salary,$95056,,,,,,,,,,
327,Nazr Mohammed,CHI,$1448490,,,,,,Minimum Salary,$1448490,,,,,,,,,,
366,Nemanja Nedovic,GSW,$1104240,,,,,,,$1104240,,,,,,,,,,
35,Nene Hilario,WAS,$13000000,$13000000,,,,,Bird Rights,$26000000,,,,,,,,,,
208,Nerlens Noel,PHI,$3315120,$3457800,$4384490,,,,1st Round Pick,$6772920,,,,,,,,,,
434,Nick Calathes,MEM,$816482,,,,,,Minimum Salary,$816482,,,,,,,,,,
264,Nick Collison,OKC,$2242003,,,,,,Bird Rights,$2242003,,,,,,,,,,
467,Nick Johnson,HOU,$507336,$845059,$980431,,,,,$2332826,,,,,,,,,,
153,Nick Young,LAL,$4994420,$5219169,$5443918,$5668667,,,Cap Space,$15657507,,,,,,,,,,
49,Nicolas Batum,POR,$11765500,$12235750,,,,,Bird Rights,$23251250,,,,,,,,,,
243,Nik Stauskas,SAC,$2745840,$2869440,$2993040,$3807146,,,1st Round Pick,$5615280,,,,,,,,,,
145,Nikola Mirotic,CHI,$5305000,$5543725,$5782450,,,,Cap Space,$16631175,,,,,,,,,,
44,Nikola Pekovic,MIN,$12100000,$12100000,$12100000,$11600000,,,Bird Rights,$47900000,,,,,,,,,,
241,Nikola Vucevic,ORL,$2751260,,,,,,1st Round Pick,$2751260,,,,,,,,,,
252,Noah Vonleh,CHO,$2524200,$2637720,$2751360,$3505233,,,1st Round Pick,$5161920,,,,,,,,,,
282,Norris Cole,MIA,$2038206,,,,,,1st Round Pick,$2038206,,,,,,,,,,
83,O.J. Mayo,MIL,$8000000,$8000000,,,,,Cap Space,$16000000,,,,,,,,,,
436,Ognjen Kuzmic,GSW,$816482,,,,,,,$816482,,,,,,,,,,
79,Omer Asik,NOP,$8374646,,,,,,Cap Space,$8374646,,,,,,,,,,
373,Omri Casspi,SAC,$1063384,,,,,,Minimum Salary,$1063384,,,,,,,,,,
529,Orlando Sanchez,NYK,$15000,,,,,,,$15000,,,,,,,,,,
168,Otto Porter,WAS,$4470480,$4662960,$5893981,,,,1st Round Pick,$9133440,,,,,,,,,,
355,P.J. Hairston,CHO,$1149720,$1201440,$1253160,$2259447,,,1st Round Pick,$2351160,,,,,,,,,,
129,P.J. Tucker,PHO,$5700000,$5500000,$5300000,,,,Cap Space,$12700000,,,,,,,,,,
306,Pablo Prigioni,NYK,$1662961,$1734572,,,,,MLE,$3544311,,,,,,,,,,
494,Patric Young,NOP,$100000,,,,,,,$100000,,,,,,,,,,
407,Patrick Beverley,HOU,$915243,,,,,,Cap Space,,,,,,,,,,,
187,Patrick Mills,SAS,$3842105,$3578947,$3578948,,,,Bird Rights,$11000000,,,,,,,,,,
128,Patrick Patterson,TOR,$5831326,$6268675,$6050000,,,,Bird Rights,$18150001,,,,,,,,,,
99,Pau Gasol,CHI,$7128000,$7448760,$7769520,,,,Cap Space,$14576760,,,,,,,,,,
17,Paul George,IND,$15925680,$17120106,$18314532,$19508958,$20703384,,1st Round Pick,$70869276,,,,,,,,,,
67,Paul Millsap,ATL,$9500000,,,,,,Cap Space,$9500000,,,,,,,,,,
141,Paul Pierce,WAS,$5305000,$5543725,,,,,MLE,$5305000,,,,,,,,,,
344,Pero Antic,ATL,$1250000,,,,,,Cap Space,$1250000,,,,,,,,,,
360,Perry Jones,OKC,$1129200,$2038206,,,,,1st Round Pick,$3167406,,,,,,,,,,
492,Peyton Siva,ORL,$100000,,,,,,,$100000,,,,,,,,,,
441,Phil Pressey,BOS,$816482,$947276,,,,,Mini MLE,$816482,,,,,,,,,,
476,Pierre Jackson,PHI,$400000,,,,,,,$400000,,,,,,,,,,
400,Quincy Acy,NYK,$915243,,,,,,Cap Space,$915243,,,,,,,,,,
490,Quincy Miller,DEN,$150000,,,,,,,$150000,,,,,,,,,,
219,Quincy Pondexter,NOP,$3146068,$3382023,$3617978,$3853931,,,1st Round Pick,$14000000,,,,,,,,,,
37,Rajon Rondo,DAL,$12909091,,,,,,Bird Rights,$12909091,,,,,,,,,,
274,Ramon Sessions,SAC,$2077000,$2170465,,,,,BAE,$4247465,,,,,,,,,,
221,Randy Foye,DEN,$3135000,$3270000,,,,,Non Bird Rights,$6405000,,,,,,,,,,
319,Rasual Butler,WAS,$1448490,,,,,,Minimum Salary,,,,,,,,,,,
426,Ray McCallum,SAC,$816482,$947276,,,,,Cap Space,$816482,,,,,,,,,,
190,Raymond Felton,DAL,$3793693,$3950313,,,,,Cap Space,$3793693,,,,,,,,,,
351,Reggie Bullock,PHO,$1200720,$1252440,$2255644,,,,,$2453160,,,,,,,,,,
299,Reggie Evans,SAC,$1768653,,,,,,Non Bird Rights,$1768653,,,,,,,,,,
266,Reggie Jackson,OKC,$2204370,,,,,,1st Round Pick,$2204370,,,,,,,,,,
507,Reggie Williams,SAS,$62552,,,,,,Minimum Salary,$62552,,,,,,,,,,
479,Richard Hamilton,CHI,$333333,$333333,,,,,,$666666,,,,,,,,,,
412,Richard Jefferson,DAL,$1448490,,,,,,Minimum Salary,$1448490,,,,,,,,,,
439,Ricky Ledo,DAL,$816482,$947276,$1015696,,,,,$816482,,,,,,,,,,
148,Ricky Rubio,MIN,$5070686,$12365000,$13292375,$14219750,$15147125,,1st Round Pick,$60094936,,,,,,,,,,
421,Robbie Hummel,MIN,$880000,,,,,,,$880000,,,,,,,,,,
375,Robert Covington,PHI,$1000000,$1000000,$1015696,$1087745,,,,,,,,,,,,,,
489,Robert Covington,HOU,$150000,,,,,,,$150000,,,,,,,,,,
404,Robert Sacre,LAL,$915243,$981348,,,,,Non Bird Rights,$915243,,,,,,,,,,
122,Robin Lopez,POR,$6124728,,,,,,Bird Rights,$5340229,,,,,,,,,,
341,Rodney Hood,UTA,$1290360,$1348440,$1406520,$2386864,,,1st Round Pick,$2638800,,,,,,,,,,
347,Rodney Stuckey,IND,$1227985,,,,,,Minimum Salary,$1227985,,,,,,,,,,
478,Ronald Roberts Jr.,PHI,$373041,,,,,,,,,,,,,,,,,
336,Ronnie Price,LAL,$1316809,,,,,,Minimum Salary,,,,,,,,,,,
314,Ronny Turiaf,PHI,$1500000,,,,,,,$1500000,,,,,,,,,,
25,Roy Hibbert,IND,$14898938,$15514031,,,,,Bird Rights,$14898938,,,,,,,,,,
11,Rudy Gay,SAC,$19317325,$12403101,$13333333,$14263566,,,Bird Rights,$45053759,,,,,,,,,,
361,Rudy Gobert,UTA,$1127400,$1175880,$2121288,,,,1st Round Pick,$1127400,,,,,,,,,,
463,Russ Smith,MEM,$816482,$816482,$816482,,,,,$507336,,,,,,,,,,
20,Russell Westbrook,OKC,$15719062,$16744218,$17769374,,,,Bird Rights,$50232654,,,,,,,,,,
77,Ryan Anderson,NOP,$8491500,$8500000,,,,,Bird Rights,$16991500,,,,,,,,,,
335,Ryan Hollins,SAC,$1316809,,,,,,Minimum Salary,$1316809,,,,,,,,,,
307,Ryan Kelly,LAL,$1650000,$1724250,,,,,Room Exception,$3374250,,,,,,,,,,
186,Samuel Dalembert,NYK,$3867282,,,,,,,$1800000,,,,,,,,,,
517,Sean Kilpatrick,GSW,$35000,,,,,,,$35000,,,,,,,,,,
399,Sebastian Telfair,OKC,$915243,,,,,,,$915243,,,,,,,,,,
40,Serge Ibaka,OKC,$12350000,$12350000,$12350000,,,,Bird Rights,$36750000,,,,,,,,,,
312,Sergey Karasev,BRK,$1533840,$1599840,$2463754,,,,1st Round Pick,$1533840,,,,,,,,,,
493,Seth Curry,ORL,$100000,,,,,,,$100000,,,,,,,,,,
290,Shabazz Muhammad,MIN,$1971960,$2056920,$3046299,,,,1st Round Pick,$4028880,,,,,,,,,,
345,Shabazz Napier,MIA,$1238640,$1294440,$1350120,$2361360,,,1st Round Pick,$2533080,,,,,,,,,,
309,Shane Larkin,NYK,$1606080,$1675320,$2576642,,,,1st Round Pick,$1606080,,,,,,,,,,
144,Shaun Livingston,GSW,$5305000,$5543725,$5782450,,,,MLE,$13848725,,,,,,,,,,
349,Shavlik Randolph,BOS,$1227985,,,,,,Minimum Salary,,,,,,,,,,,
324,Shawn Marion,CLE,$1448490,,,,,,Minimum Salary,$1448490,,,,,,,,,,
346,Shawne Williams,MIA,$1227985,$1356146,,,,,Minimum Salary,$1227985,,,,,,,,,,
466,Shayne Whittington,IND,$507336,,,,,,,,,,,,,,,,,
256,Shelvin Mack,ATL,$2433333,$2433333,$2433334,,,,Cap Space,$4866666,,,,,,,,,,
340,Solomon Hill,IND,$1302840,$1358880,$2306019,,,,1st Round Pick,$2661720,,,,,,,,,,
449,Spencer Dinwiddie,DET,$700000,$845059,$980431,,,,Cap Space,$1545059,,,,,,,,,,
143,Spencer Hawes,LAC,$5305000,$5543725,$5782450,$6021175,,,MLE,$16631175,,,,,,,,,,
57,Stephen Curry,GSW,$10629213,$11370786,$12112359,,,,Bird Rights,$34112358,,,,,,,,,,
275,Steve Blake,POR,$2077000,$2170465,,,,,BAE,$2077000,,,,,,,,,,
64,Steve Nash,LAL,$9701000,,,,,,Bird Rights,$9701000,,,,,,,,,,
200,Steve Novak,UTA,$3445946,$3750000,,,,,Early Bird,$7195946,,,,,,,,,,
268,Steven Adams,OKC,$2184960,$2279040,$3140517,,,,1st Round Pick,$4464000,,,,,,,,,,
292,T.J. Warren,PHO,$1953120,$2041080,$2128920,$3152931,,,1st Round Pick,$3994200,,,,,,,,,,
86,Taj Gibson,CHI,$8000000,$8500000,$8950000,,,,Bird Rights,$25450000,,,,,,,,,,
464,Tarik Black,LAL,$507336,$845059,,,,,Minimum Salary,$50000,,,,,,,,,,
92,Tayshaun Prince,BOS,$7707865,,,,,,Bird Rights,$7707865,,,,,,,,,,
308,Terrence Jones,HOU,$1618680,$2489530,,,,,1st Round Pick,$4108210,,,,,,,,,,
239,Terrence Ross,TOR,$2793960,$3553917,,,,,1st Round Pick,$6347877,,,,,,,,,,
174,Thabo Sefolosha,ATL,$4150000,$4000000,$3850000,,,,,$12000000,,,,,,,,,,
69,Thaddeus Young,MIN,$9410870,$9971739,,,,,Bird Rights,$9160870,,,,,,,,,,
193,Thomas Robinson,POR,$3678360,$4660482,,,,,1st Round Pick,$3678360,,,,,,,,,,
71,Tiago Splitter,SAS,$9250000,$8500000,$8250000,,,,Bird Rights,$26000000,,,,,,,,,,
60,Tim Duncan,SAS,$10000000,,,,,,Bird Rights,$10000000,,,,,,,,,,
343,Tim Hardaway,NYK,$1250640,$1304520,$2281605,,,,1st Round Pick,$2555160,,,,,,,,,,
162,Timofey Mozgov,CLE,$4650000,$4950000,,,,,Bird Rights,$4650000,,,,,,,,,,
259,Tobias Harris,ORL,$2380594,,,,,,1st Round Pick,$2380594,,,,,,,,,,
157,Tony Allen,MEM,$4831461,$5168539,$5505618,,,,Bird Rights,$15505618,,,,,,,,,,
427,Tony Mitchell,PHO,$816482,,,,,,,$816482,,,,,,,,,,
39,Tony Parker,SAS,$12500000,$13437500,$14445313,$15453126,,,Bird Rights,$55835939,,,,,,,,,,
317,Tony Snell,CHI,$1472400,$1535880,$2368327,,,,1st Round Pick,$3008280,,,,,,,,,,
350,Tony Wroten,PHI,$1210080,$2179354,,,,,1st Round Pick,$3389434,,,,,,,,,,
481,Toure' Murry,UTA,$250000,,,,,,,$250000,,,,,,,,,,
180,Travis Outlaw,BRK,$4000000,,,,,,,,,,,,,,,,,
227,Travis Outlaw,PHI,$3000000,,,,,,,$3000000,,,,,,,,,,
460,Travis Wear,NYK,$507336,,,,,,Minimum Salary,$62000,,,,,,,,,,
75,Trevor Ariza,HOU,$8579089,$8193030,$7806971,$7420912,,,Bird Rights,$32000000,,,,,,,,,,
150,Trevor Booker,UTA,$5000000,$4775000,,,,,Cap Space,$5250000,,,,,,,,,,
251,Trey Burke,UTA,$2548560,$2658240,$3386598,,,,1st Round Pick,$2548560,,,,,,,,,,
147,Tristan Thompson,CLE,$5138430,,,,,,1st Round Pick,$5138430,,,,,,,,,,
431,Troy Daniels,MIN,$816482,$947276,,,,,Minimum Salary,$1763758,,,,,,,,,,
50,Ty Lawson,DEN,$11595506,$12404495,$13213482,,,,Bird Rights,$37213483,,,,,,,,,,
310,Tyler Ennis,PHO,$1590720,$1662360,$1733880,$2666707,,,1st Round Pick,$3253080,,,,,,,,,,
205,Tyler Hansbrough,TOR,$3326235,,,,,,MLE,$3326235,,,,,,,,,,
497,Tyler Johnson,MIA,$96060,,,,,,,$48030,,,,,,,,,,
303,Tyler Zeller,BOS,$1703760,$2616975,,,,,1st Round Pick,$4320735,,,,,,,,,,
56,Tyreke Evans,NOP,$10763500,$11227000,$11690500,,,,Bird Rights,$33681000,,,,,,,,,,
70,Tyrus Thomas,CHO,$9388000,,,,,,,,,,,,,,,,,
501,Tyrus Thomas,MEM,$72234,,,,,,Minimum Salary,$72234,,,,,,,,,,
30,Tyson Chandler,DAL,$14598888,,,,,,Bird Rights,$14598888,,,,,,,,,,
244,Udonis Haslem,MIA,$2732000,$2854940,,,,,MLE,$5586940,,,,,,,,,,
332,Victor Claver,POR,$1370000,,,,,,Cap Space,$1370000,,,,,,,,,,
154,Victor Oladipo,ORL,$4978200,$5192520,$6552960,,,,1st Round Pick,$10170720,,,,,,,,,,
182,Vince Carter,MEM,$3911981,$4088091,$4264057,,,,,$10000072,,,,,,,,,,
272,Vitor Faverani,BOS,$2090000,,,,,,,$2090000,,,,,,,,,,
374,Wayne Ellington,LAL,$1063384,,,,,,Minimum Salary,,,,,,,,,,,
394,Wayne Ellington,SAC,$923780,$923670,$923670,,,,,,,,,,,,,,,
383,Wesley Johnson,LAL,$981084,,,,,,Minimum Salary,$981084,,,,,,,,,,
96,Wesley Matthews,POR,$7245640,,,,,,MLE,$6107640,,,,,,,,,,
396,Will Barton,POR,$915243,,,,,,Cap Space,$915243,,,,,,,,,,
236,Will Bynum,BOS,$2915908,,,,,,,$2915908,,,,,,,,,,
526,Will Cherry,TOR,$25000,,,,,,,$25000,,,,,,,,,,
321,Willie Green,ORL,$1448490,,,,,,Non Bird Rights,$1448490,,,,,,,,,,
107,Wilson Chandler,DEN,$6757913,$7171663,,,,,Bird Rights,$8757913,,,,,,,,,,
371,Xavier Henry,LAL,$1082000,,,,,,,$1082000,,,,,,,,,,
281,Zach LaVine,MIN,$2055840,$2148360,$2240880,$3202217,,,1st Round Pick,$4204200,,,,,,,,,,
15,Zach Randolph,MEM,$16500000,$9638555,$10361445,,,,Bird Rights,$36500000,,,,,,,,,,
146,Zaza Pachulia,MIL,$5200000,$5200000,,,,,Cap Space,$10400000,,,,,,,,,,
291,Zoran Dragic,PHO,$1962103,$2050397,,,,,Cap Space,$4012500,,,,,,,,,,
